Age,Browser,Click_Count,Duration_Entire_Survey,Education,Familiarity,Font_Size,Font_Type,Freq,Gender,Location_Latitude,Location_Longitude,Num_Words,Operating_System,Reading_Speed,Reading_Time,Screen_Resolution,Survey_Num,SylPerWord,WordsPerSent
37,Edge,0,160,5,3,0,0,0.15339573149999997,2,40.74650574,-73.90899658,632,Windows NT 10.0,4,111.625,1200x800,10,1.5419161676646707,23.03448275862069
41,Chrome,0,190,6,2,0,0,0.15339573149999997,1,32.1934967,-95.84320068,632,Windows NT 10.0,2,123.70200000000001,1366x768,10,1.5419161676646707,23.03448275862069
34,Chrome,15,221,4,2,0,0,0.15339573149999997,2,39.72770691,-104.9814987,632,Windows NT 6.3,3,154.0,1440x960,10,1.5419161676646707,23.03448275862069
40,Chrome,19,230,5,4,0,0,0.15339573149999997,2,41.72180176,-74.41410065,632,Windows NT 10.0,4,167.88099999999997,1366x768,10,1.5419161676646707,23.03448275862069
30,Chrome,5,140,5,3,0,0,0.15339573149999997,1,40.47250366,-79.9108963,632,Macintosh,4,94.39,1440x900,10,1.5419161676646707,23.03448275862069
24,Firefox,3,346,4,3,0,0,0.15339573149999997,1,47.10369873,-122.32350159999999,632,Windows NT 10.0,2,256.186,1920x1080,10,1.5419161676646707,23.03448275862069
54,Chrome,0,184,2,2,0,0,0.15339573149999997,2,34.223007200000005,-82.15820313,632,Windows NT 10.0,3,118.76899999999999,1600x900,10,1.5419161676646707,23.03448275862069
34,Chrome,0,205,5,3,0,0,0.15339573149999997,2,37.94850159,-91.76029968,632,CrOS x86_64 11647.104.0,4,130.836,1440x900,10,1.5419161676646707,23.03448275862069
53,Chrome,5,256,6,2,0,0,0.15339573149999997,1,29.87379456,-95.52330017,632,Windows NT 6.1,2,184.722,1920x1200,10,1.5419161676646707,23.03448275862069
34,Chrome,0,302,3,3,0,0,0.15339573149999997,1,29.46139526,-98.74680328,632,Windows NT 6.1,4,158.953,1920x1080,10,1.5419161676646707,23.03448275862069
37,Chrome,0,152,5,2,0,0,0.15339573149999997,2,34.07969666,-83.93280029,632,Windows NT 10.0,4,88.51799999999999,1920x1080,10,1.5419161676646707,23.03448275862069
45,Chrome,22,195,4,3,0,0,0.15339573149999997,2,35.13340759,-90.00460052,632,Windows NT 6.1,3,136.247,1366x768,10,1.5419161676646707,23.03448275862069
33,Chrome,7,305,5,3,0,0,0.15339573149999997,1,40.63180542,-74.51049805,632,Windows NT 6.1,3,249.16400000000002,1280x800,10,1.5419161676646707,23.03448275862069
45,Chrome,1,149,5,3,0,0,0.15339573149999997,2,31.66740417,-92.84120178,632,Windows NT 10.0,4,81.627,1366x768,10,1.5419161676646707,23.03448275862069
20,Chrome,1,157,3,3,0,0,0.15339573149999997,1,41.23680115,-81.92449951,632,Windows NT 10.0,4,111.439,1280x720,10,1.5419161676646707,23.03448275862069
30,Chrome,0,160,3,3,0,0,0.15339573149999997,1,33.70739746,-117.70539860000001,632,Windows NT 10.0,3,110.094,1920x1080,10,1.5419161676646707,23.03448275862069
69,Chrome,8,333,6,5,0,0,0.15339573149999997,2,36.12359619,-115.2757034,632,Windows NT 6.1,4,232.25,1093x615,10,1.5419161676646707,23.03448275862069
29,Chrome,0,154,4,2,0,0,0.15339573149999997,2,42.36669922,-88.09249878,632,Windows NT 10.0,4,98.79899999999999,1920x1080,10,1.5419161676646707,23.03448275862069
45,Chrome,0,169,3,3,0,0,0.15339573149999997,2,28.0308075,-97.06880188,632,Windows NT 10.0,4,120.167,1920x1080,10,1.5419161676646707,23.03448275862069
27,Chrome,0,131,5,3,0,0,0.15339573149999997,2,42.05799866,-110.91639709999998,632,Windows NT 10.0,4,88.256,1920x1080,10,1.5419161676646707,23.03448275862069
